age,job,marital,education,default,balance,housing,duration,loan,contact,day,month,campaign,pdays,previous,poutcome,deposit
33,management,divorced,secondary,no,5,yes,1346,no,unknown,13,may,1,-1,0,unknown,yes
38,management,married,tertiary,no,119,yes,568,no,unknown,13,may,4,-1,0,unknown,yes
23,entrepreneur,single,primary,no,4,yes,395,no,unknown,13,may,2,-1,0,unknown,yes
60,blue-collar,married,primary,no,1262,yes,1015,yes,unknown,13,may,1,-1,0,unknown,yes
48,management,married,tertiary,no,1949,yes,683,no,unknown,13,may,2,-1,0,unknown,yes
45,entrepreneur,divorced,tertiary,no,-395,yes,470,no,unknown,13,may,1,-1,0,unknown,yes
36,blue-collar,married,secondary,no,1165,yes,1001,no,unknown,13,may,4,-1,0,unknown,yes
52,management,married,unknown,no,2240,yes,845,no,unknown,13,may,1,-1,0,unknown,yes
35,blue-collar,divorced,primary,no,300,yes,945,no,unknown,13,may,2,-1,0,unknown,yes
43,technician,married,secondary,no,3285,yes,1721,no,unknown,13,may,2,-1,0,unknown,yes
52,housemaid,married,secondary,no,3923,yes,942,no,unknown,14,may,3,-1,0,unknown,yes
53,technician,divorced,primary,no,1443,yes,476,no,unknown,14,may,1,-1,0,unknown,yes
48,blue-collar,divorced,primary,no,24,yes,832,no,unknown,14,may,1,-1,0,unknown,yes
41,blue-collar,single,primary,no,1618,yes,1553,no,unknown,14,may,1,-1,0,unknown,yes
39,management,divorced,tertiary,no,517,yes,1328,yes,unknown,14,may,1,-1,0,unknown,yes
59,retired,married,secondary,no,1521,yes,1125,yes,unknown,14,may,2,-1,0,unknown,yes
41,blue-collar,married,secondary,no,2823,yes,858,no,unknown,14,may,1,-1,0,unknown,yes
48,blue-collar,married,secondary,no,1405,yes,629,no,unknown,14,may,2,-1,0,unknown,yes
40,admin.,married,secondary,no,1535,yes,704,no,unknown,14,may,1,-1,0,unknown,yes
48,blue-collar,married,secondary,no,1596,yes,760,no,unknown,14,may,1,-1,0,unknown,yes
60,retired,married,primary,no,1542,yes,930,no,unknown,14,may,1,-1,0,unknown,yes
40,technician,single,unknown,no,3652,yes,1028,no,unknown,14,may,2,-1,0,unknown,yes
57,technician,married,tertiary,no,-1,no,850,no,unknown,14,may,2,-1,0,unknown,yes
51,blue-collar,married,secondary,no,7180,yes,927,no,unknown,14,may,1,-1,0,unknown,yes
41,blue-collar,divorced,secondary,no,5291,yes,1423,no,unknown,14,may,3,-1,0,unknown,yes
41,blue-collar,married,secondary,no,1384,yes,1162,no,unknown,15,may,4,-1,0,unknown,yes
52,blue-collar,divorced,primary,no,-191,yes,755,no,unknown,15,may,1,-1,0,unknown,yes
59,blue-collar,married,primary,no,320,yes,695,no,unknown,15,may,1,-1,0,unknown,yes
44,blue-collar,married,unknown,no,146,yes,483,no,unknown,15,may,1,-1,0,unknown,yes
49,unknown,married,primary,no,341,yes,520,yes,unknown,15,may,2,-1,0,unknown,yes
40,services,married,primary,no,-9,yes,920,no,unknown,15,may,2,-1,0,unknown,yes
41,admin.,married,primary,no,-306,yes,500,no,unknown,15,may,1,-1,0,unknown,yes
44,technician,married,tertiary,no,4580,yes,911,no,unknown,15,may,2,-1,0,unknown,yes
60,services,single,primary,no,313,yes,920,no,unknown,15,may,2,-1,0,unknown,yes
29,management,married,tertiary,no,10576,no,1224,no,unknown,15,may,2,-1,0,unknown,yes
41,retired,divorced,primary,no,-233,yes,1156,no,unknown,15,may,2,-1,0,unknown,yes
41,blue-collar,married,primary,no,2453,yes,1052,no,unknown,15,may,1,-1,0,unknown,yes
42,technician,single,secondary,no,1364,yes,1867,no,unknown,15,may,6,-1,0,unknown,yes
36,services,single,unknown,no,281,yes,515,no,unknown,16,may,1,-1,0,unknown,yes
39,technician,married,tertiary,no,94,yes,813,yes,unknown,16,may,1,-1,0,unknown,yes
31,self-employed,single,tertiary,no,144,yes,676,no,unknown,16,may,1,-1,0,unknown,yes
26,blue-collar,married,secondary,no,246,yes,1143,no,unknown,16,may,3,-1,0,unknown,yes
31,blue-collar,married,secondary,no,92,yes,688,no,unknown,16,may,1,-1,0,unknown,yes
29,admin.,single,secondary,no,163,yes,803,yes,unknown,16,may,1,-1,0,unknown,yes
37,services,divorced,secondary,no,49,yes,619,no,unknown,16,may,2,-1,0,unknown,yes
33,blue-collar,single,secondary,no,-416,yes,767,no,unknown,16,may,2,-1,0,unknown,yes
24,technician,single,secondary,no,409,yes,912,no,unknown,16,may,1,-1,0,unknown,yes
50,admin.,divorced,secondary,no,363,yes,1340,no,unknown,16,may,1,-1,0,unknown,yes
27,technician,single,tertiary,no,3706,yes,897,no,unknown,16,may,1,-1,0,unknown,yes
54,management,single,tertiary,no,4393,yes,1297,no,unknown,16,may,3,-1,0,unknown,yes
30,technician,single,secondary,no,863,yes,1193,no,unknown,16,may,5,-1,0,unknown,yes
34,blue-collar,married,primary,no,695,yes,1064,yes,unknown,16,may,4,-1,0,unknown,yes
37,management,single,secondary,no,792,yes,1187,no,unknown,16,may,4,-1,0,unknown,yes
41,admin.,single,secondary,no,1020,yes,882,no,unknown,19,may,1,-1,0,unknown,yes
47,blue-collar,married,secondary,no,863,yes,943,no,unknown,19,may,2,-1,0,unknown,yes
31,admin.,married,secondary,no,97,yes,607,no,unknown,19,may,1,-1,0,unknown,yes
31,blue-collar,married,secondary,no,754,yes,1022,no,unknown,19,may,4,-1,0,unknown,yes
43,services,divorced,secondary,no,1040,yes,552,no,unknown,19,may,3,-1,0,unknown,yes
37,management,divorced,tertiary,no,122,yes,1622,no,unknown,19,may,2,-1,0,unknown,yes
30,technician,single,tertiary,no,880,yes,967,yes,unknown,19,may,6,-1,0,unknown,yes
41,technician,married,secondary,no,501,yes,579,no,unknown,19,may,5,-1,0,unknown,yes
36,blue-collar,married,secondary,no,4438,yes,446,no,unknown,20,may,1,-1,0,unknown,yes
35,blue-collar,divorced,secondary,no,0,yes,1205,no,unknown,20,may,1,-1,0,unknown,yes
29,services,single,secondary,no,271,yes,1882,no,unknown,20,may,2,-1,0,unknown,yes
35,blue-collar,married,primary,no,102,yes,1334,no,unknown,20,may,1,-1,0,unknown,yes
31,blue-collar,married,secondary,no,2,yes,182,no,unknown,20,may,2,-1,0,unknown,yes
35,services,married,secondary,no,4170,yes,1777,no,unknown,20,may,1,-1,0,unknown,yes
34,technician,single,secondary,no,85,yes,1182,no,unknown,20,may,4,-1,0,unknown,yes
31,admin.,single,secondary,no,431,yes,1045,yes,unknown,20,may,1,-1,0,unknown,yes
44,technician,divorced,secondary,no,982,yes,650,no,unknown,20,may,3,-1,0,unknown,yes
36,blue-collar,married,primary,no,408,yes,1063,yes,unknown,20,may,2,-1,0,unknown,yes
35,blue-collar,married,unknown,no,4822,yes,843,no,unknown,20,may,2,-1,0,unknown,yes
41,blue-collar,married,primary,no,1250,yes,1392,no,unknown,20,may,2,-1,0,unknown,yes
31,blue-collar,single,primary,no,216,yes,565,no,unknown,21,may,1,-1,0,unknown,yes
34,blue-collar,married,secondary,no,1207,yes,905,no,unknown,21,may,1,-1,0,unknown,yes
32,technician,married,secondary,no,791,yes,783,no,unknown,21,may,2,-1,0,unknown,yes
36,management,married,tertiary,no,849,yes,958,yes,unknown,21,may,2,-1,0,unknown,yes
30,blue-collar,single,secondary,yes,239,yes,412,no,unknown,21,may,1,-1,0,unknown,yes
37,technician,single,secondary,no,1211,yes,795,no,unknown,21,may,1,-1,0,unknown,yes
36,blue-collar,married,primary,no,599,yes,649,no,unknown,21,may,2,-1,0,unknown,yes
31,management,single,tertiary,no,825,yes,506,no,unknown,21,may,2,-1,0,unknown,yes
27,technician,married,secondary,no,2183,yes,857,yes,unknown,21,may,1,-1,0,unknown,yes
34,retired,married,primary,no,4499,no,1681,no,unknown,21,may,1,-1,0,unknown,yes
30,technician,single,tertiary,no,1289,yes,1697,no,unknown,21,may,2,-1,0,unknown,yes
32,technician,single,tertiary,no,4665,yes,860,no,unknown,21,may,2,-1,0,unknown,yes
37,technician,single,secondary,no,3326,yes,799,no,unknown,21,may,1,-1,0,unknown,yes
32,blue-collar,married,secondary,no,783,yes,923,no,unknown,21,may,3,-1,0,unknown,yes
33,blue-collar,married,secondary,no,0,yes,521,no,unknown,21,may,3,-1,0,unknown,yes
35,blue-collar,married,primary,no,994,yes,1349,no,unknown,23,may,8,-1,0,unknown,yes
35,self-employed,divorced,tertiary,no,1354,yes,736,no,unknown,23,may,2,-1,0,unknown,yes
30,blue-collar,single,secondary,no,239,yes,785,no,unknown,23,may,1,-1,0,unknown,yes
45,blue-collar,divorced,primary,no,-311,yes,1030,no,unknown,23,may,1,-1,0,unknown,yes
45,admin.,married,secondary,no,149,yes,893,no,unknown,23,may,3,-1,0,unknown,yes
33,blue-collar,married,secondary,no,1464,yes,588,no,unknown,23,may,3,-1,0,unknown,yes
44,management,divorced,tertiary,no,5773,no,597,no,unknown,23,may,6,-1,0,unknown,yes
40,blue-collar,married,primary,no,278,yes,1015,no,unknown,23,may,3,-1,0,unknown,yes
31,blue-collar,married,secondary,no,2910,yes,1392,no,unknown,23,may,2,-1,0,unknown,yes
30,technician,married,tertiary,no,541,yes,414,no,unknown,26,may,2,-1,0,unknown,yes
44,technician,divorced,secondary,no,1262,yes,788,no,unknown,26,may,11,-1,0,unknown,yes
34,services,married,secondary,no,-538,yes,682,no,unknown,26,may,1,-1,0,unknown,yes
37,blue-collar,married,secondary,no,125,no,679,no,unknown,26,may,2,-1,0,unknown,yes
28,self-employed,single,tertiary,no,0,yes,1560,no,unknown,26,may,2,-1,0,unknown,yes
32,admin.,single,secondary,no,620,yes,1234,no,unknown,26,may,3,-1,0,unknown,yes
37,blue-collar,divorced,secondary,no,316,yes,642,no,unknown,26,may,2,-1,0,unknown,yes
34,management,married,tertiary,no,2287,yes,895,no,unknown,26,may,4,-1,0,unknown,yes
38,admin.,divorced,secondary,no,198,yes,431,no,unknown,26,may,2,-1,0,unknown,yes
28,admin.,single,secondary,no,460,yes,741,no,unknown,26,may,6,-1,0,unknown,yes
31,management,divorced,tertiary,no,1145,yes,1272,no,unknown,26,may,4,-1,0,unknown,yes
59,services,married,secondary,no,-22,yes,748,no,unknown,26,may,3,-1,0,unknown,yes
24,blue-collar,married,secondary,no,685,yes,896,no,unknown,26,may,3,-1,0,unknown,yes
26,services,single,secondary,no,901,yes,764,no,unknown,26,may,2,-1,0,unknown,yes
59,retired,single,secondary,no,351,yes,1063,no,unknown,27,may,5,-1,0,unknown,yes
30,entrepreneur,single,primary,no,0,yes,1051,yes,unknown,27,may,1,-1,0,unknown,yes
37,admin.,married,secondary,no,274,yes,731,no,unknown,27,may,3,-1,0,unknown,yes
30,admin.,single,secondary,no,-213,yes,751,yes,unknown,27,may,1,-1,0,unknown,yes
25,blue-collar,married,secondary,no,97,yes,709,no,unknown,27,may,1,-1,0,unknown,yes
44,services,divorced,secondary,no,51,yes,3094,yes,unknown,27,may,2,-1,0,unknown,yes
29,management,married,tertiary,no,314,no,938,no,unknown,28,may,2,-1,0,unknown,yes
26,management,single,tertiary,no,6840,yes,1560,no,unknown,28,may,2,-1,0,unknown,yes
26,technician,single,secondary,no,668,yes,576,no,unknown,28,may,3,-1,0,unknown,yes
27,services,single,secondary,no,54,yes,543,no,unknown,28,may,2,-1,0,unknown,yes
25,self-employed,single,secondary,no,1242,yes,615,no,unknown,28,may,2,-1,0,unknown,yes
28,management,married,secondary,no,292,yes,507,no,unknown,28,may,1,-1,0,unknown,yes
23,services,single,secondary,no,665,yes,1183,no,unknown,28,may,1,-1,0,unknown,yes
34,management,single,tertiary,no,1058,yes,864,no,unknown,28,may,2,-1,0,unknown,yes
28,student,single,secondary,no,949,yes,1730,no,unknown,28,may,1,-1,0,unknown,yes
51,entrepreneur,married,unknown,no,606,yes,560,no,unknown,28,may,9,-1,0,unknown,yes
35,blue-collar,married,secondary,no,0,yes,543,yes,unknown,29,may,1,-1,0,unknown,yes
35,admin.,married,secondary,no,404,yes,539,no,unknown,29,may,1,-1,0,unknown,yes
56,blue-collar,married,secondary,no,249,yes,791,no,unknown,29,may,2,-1,0,unknown,yes
45,unemployed,divorced,secondary,no,3354,yes,746,no,unknown,29,may,1,-1,0,unknown,yes
60,blue-collar,divorced,secondary,no,0,yes,1207,no,unknown,29,may,1,-1,0,unknown,yes
56,technician,married,secondary,no,589,yes,535,no,unknown,29,may,2,-1,0,unknown,yes
27,management,single,tertiary,no,12956,yes,789,no,unknown,29,may,3,-1,0,unknown,yes
30,admin.,married,secondary,no,873,yes,792,no,unknown,29,may,3,-1,0,unknown,yes
45,blue-collar,divorced,primary,no,594,yes,833,no,unknown,29,may,2,-1,0,unknown,yes
29,blue-collar,single,secondary,no,-20,yes,814,no,unknown,29,may,2,-1,0,unknown,yes
38,management,divorced,tertiary,no,4692,yes,1363,no,unknown,29,may,2,-1,0,unknown,yes
30,blue-collar,married,secondary,no,486,yes,1109,no,unknown,29,may,3,-1,0,unknown,yes
44,blue-collar,single,primary,no,1593,yes,828,no,unknown,29,may,3,-1,0,unknown,yes
36,management,single,tertiary,no,7606,yes,917,no,unknown,30,may,1,-1,0,unknown,yes
38,technician,married,secondary,no,226,yes,762,no,unknown,30,may,3,-1,0,unknown,yes
36,blue-collar,single,secondary,no,366,yes,1133,yes,unknown,30,may,2,-1,0,unknown,yes
37,management,divorced,secondary,no,16,yes,638,no,unknown,30,may,1,-1,0,unknown,yes
35,management,single,tertiary,no,565,yes,763,no,unknown,30,may,1,-1,0,unknown,yes
38,admin.,divorced,secondary,no,19,yes,604,no,unknown,30,may,2,-1,0,unknown,yes
40,services,married,primary,no,1082,yes,854,no,unknown,30,may,2,-1,0,unknown,yes
42,unemployed,divorced,secondary,no,1713,yes,855,no,unknown,30,may,2,-1,0,unknown,yes
46,management,divorced,tertiary,no,14481,yes,1269,no,unknown,30,may,1,-1,0,unknown,yes
35,technician,divorced,secondary,no,5724,yes,691,no,unknown,30,may,10,-1,0,unknown,yes
34,technician,divorced,secondary,no,1451,yes,1097,no,unknown,30,may,15,-1,0,unknown,yes
32,services,married,secondary,no,-34,yes,1236,no,unknown,30,may,2,-1,0,unknown,yes
50,unemployed,married,secondary,no,3674,yes,886,no,unknown,30,may,3,-1,0,unknown,yes
35,blue-collar,married,secondary,no,698,yes,1343,yes,unknown,30,may,3,-1,0,unknown,yes
36,technician,single,secondary,no,4136,yes,812,no,unknown,30,may,3,-1,0,unknown,yes
53,blue-collar,divorced,primary,no,2656,yes,1980,no,unknown,30,may,2,-1,0,unknown,yes
46,management,single,tertiary,no,2904,yes,984,no,unknown,30,may,2,-1,0,unknown,yes
26,management,single,tertiary,no,1004,yes,228,no,unknown,30,may,2,-1,0,unknown,yes
45,technician,single,secondary,no,410,yes,891,no,unknown,30,may,4,-1,0,unknown,yes
31,unemployed,divorced,primary,no,0,yes,745,no,unknown,30,may,12,-1,0,unknown,yes
29,management,single,tertiary,no,0,yes,539,no,unknown,30,may,12,-1,0,unknown,yes
53,entrepreneur,single,secondary,no,62,yes,1044,no,unknown,30,may,5,-1,0,unknown,yes
27,blue-collar,married,primary,no,416,yes,1193,no,unknown,30,may,2,-1,0,unknown,yes
39,management,married,tertiary,no,2763,yes,526,no,unknown,2,jun,2,-1,0,unknown,yes
36,services,married,secondary,no,2984,yes,394,no,unknown,2,jun,1,-1,0,unknown,yes
41,blue-collar,married,primary,no,143,yes,659,yes,unknown,2,jun,2,-1,0,unknown,yes
36,services,married,primary,no,0,yes,1036,no,unknown,2,jun,1,-1,0,unknown,yes
32,technician,married,secondary,no,696,yes,815,no,unknown,2,jun,1,-1,0,unknown,yes
35,services,married,secondary,no,152,yes,563,no,unknown,2,jun,1,-1,0,unknown,yes
36,management,single,tertiary,no,-78,yes,1068,no,unknown,2,jun,1,-1,0,unknown,yes
35,management,married,tertiary,no,867,yes,230,no,unknown,2,jun,3,-1,0,unknown,yes
30,blue-collar,single,secondary,no,953,yes,747,no,unknown,2,jun,2,-1,0,unknown,yes
42,blue-collar,married,secondary,no,443,yes,671,no,unknown,2,jun,5,-1,0,unknown,yes
42,technician,single,secondary,yes,-1129,yes,555,no,unknown,2,jun,5,-1,0,unknown,yes
32,blue-collar,married,primary,no,415,yes,777,no,unknown,2,jun,4,-1,0,unknown,yes
29,blue-collar,single,secondary,no,260,yes,707,no,unknown,2,jun,14,-1,0,unknown,yes
44,management,divorced,tertiary,yes,-411,yes,432,no,unknown,2,jun,4,-1,0,unknown,yes
32,technician,single,secondary,no,1279,yes,1173,no,unknown,3,jun,3,-1,0,unknown,yes
31,unemployed,married,secondary,no,86,yes,963,yes,unknown,3,jun,2,-1,0,unknown,yes
40,self-employed,married,secondary,yes,-754,yes,941,yes,unknown,3,jun,3,-1,0,unknown,yes
43,entrepreneur,married,secondary,no,0,no,1025,no,unknown,3,jun,7,-1,0,unknown,yes
27,management,single,secondary,no,178,yes,732,no,unknown,3,jun,2,-1,0,unknown,yes
37,services,single,secondary,no,278,yes,1045,no,unknown,3,jun,3,-1,0,unknown,yes
23,services,single,secondary,no,425,yes,768,no,unknown,3,jun,1,-1,0,unknown,yes
25,management,married,primary,no,168,yes,801,no,unknown,3,jun,1,-1,0,unknown,yes
26,blue-collar,single,secondary,yes,-36,yes,482,no,unknown,3,jun,2,-1,0,unknown,yes
47,blue-collar,divorced,primary,no,126,yes,2456,no,unknown,3,jun,2,-1,0,unknown,yes
35,admin.,married,secondary,no,-87,yes,1363,no,unknown,3,jun,7,-1,0,unknown,yes
32,technician,single,tertiary,no,6281,yes,1336,no,unknown,3,jun,4,-1,0,unknown,yes
45,management,divorced,secondary,no,644,yes,633,no,unknown,4,jun,1,-1,0,unknown,yes
30,admin.,divorced,secondary,no,377,yes,524,no,unknown,4,jun,15,-1,0,unknown,yes
29,services,single,secondary,no,-271,yes,578,no,unknown,4,jun,1,-1,0,unknown,yes
38,blue-collar,married,primary,no,5839,yes,984,no,unknown,4,jun,2,-1,0,unknown,yes
23,blue-collar,single,secondary,no,492,yes,638,no,unknown,4,jun,1,-1,0,unknown,yes
27,management,single,tertiary,no,99,yes,767,no,unknown,4,jun,2,-1,0,unknown,yes
27,management,single,tertiary,yes,-713,yes,525,no,unknown,4,jun,2,-1,0,unknown,yes
29,services,single,secondary,no,32,yes,563,no,unknown,4,jun,1,-1,0,unknown,yes
30,self-employed,married,tertiary,no,543,yes,1449,yes,unknown,4,jun,6,-1,0,unknown,yes
36,blue-collar,married,primary,no,403,yes,920,no,unknown,4,jun,1,-1,0,unknown,yes
35,admin.,divorced,secondary,no,437,yes,908,no,unknown,4,jun,1,-1,0,unknown,yes
36,blue-collar,married,secondary,no,1772,no,208,no,unknown,5,jun,1,-1,0,unknown,yes
59,retired,divorced,primary,no,-88,yes,910,no,unknown,5,jun,2,-1,0,unknown,yes
47,entrepreneur,married,secondary,no,0,no,1446,no,unknown,5,jun,1,-1,0,unknown,yes
58,entrepreneur,married,tertiary,no,853,no,1149,no,unknown,5,jun,2,-1,0,unknown,yes
37,management,single,tertiary,no,240,no,1123,no,unknown,5,jun,1,-1,0,unknown,yes
46,admin.,single,secondary,no,849,yes,508,no,unknown,5,jun,2,-1,0,unknown,yes
43,blue-collar,single,secondary,no,318,yes,736,no,unknown,5,jun,2,-1,0,unknown,yes
27,management,single,tertiary,no,703,yes,590,no,unknown,5,jun,3,-1,0,unknown,yes
38,services,divorced,secondary,no,61,no,636,no,unknown,5,jun,1,-1,0,unknown,yes
53,housemaid,married,primary,no,104,no,701,yes,unknown,5,jun,1,-1,0,unknown,yes
47,blue-collar,married,secondary,no,1996,no,761,no,unknown,5,jun,2,-1,0,unknown,yes
56,housemaid,divorced,primary,yes,1238,no,1558,no,unknown,5,jun,1,-1,0,unknown,yes
41,housemaid,married,secondary,no,879,no,1053,no,unknown,5,jun,2,-1,0,unknown,yes
29,self-employed,married,secondary,no,425,yes,562,no,unknown,5,jun,15,-1,0,unknown,yes
50,technician,married,secondary,no,416,yes,494,no,unknown,5,jun,5,-1,0,unknown,yes
45,blue-collar,divorced,primary,no,844,no,1018,no,unknown,5,jun,3,-1,0,unknown,yes
35,blue-collar,married,secondary,no,860,yes,884,no,unknown,5,jun,4,-1,0,unknown,yes
26,technician,single,secondary,no,639,yes,709,no,unknown,6,jun,5,-1,0,unknown,yes
26,admin.,married,secondary,no,710,yes,1276,yes,unknown,6,jun,2,-1,0,unknown,yes
37,blue-collar,married,unknown,no,1508,no,381,yes,unknown,6,jun,2,-1,0,unknown,yes
30,admin.,single,secondary,no,223,yes,862,no,unknown,6,jun,11,-1,0,unknown,yes
38,management,single,tertiary,no,619,yes,460,no,unknown,6,jun,4,-1,0,unknown,yes
37,services,divorced,secondary,no,319,yes,467,no,unknown,6,jun,3,-1,0,unknown,yes
53,technician,married,secondary,no,480,no,648,no,unknown,6,jun,2,-1,0,unknown,yes
29,blue-collar,single,primary,no,213,yes,2653,no,unknown,6,jun,3,-1,0,unknown,yes
35,management,single,tertiary,no,68,no,1085,no,unknown,6,jun,1,-1,0,unknown,yes
28,blue-collar,married,secondary,no,2788,yes,369,no,unknown,6,jun,2,-1,0,unknown,yes
55,blue-collar,married,unknown,no,7561,no,685,no,unknown,6,jun,3,-1,0,unknown,yes
49,management,divorced,secondary,no,-46,yes,1055,no,unknown,9,jun,10,-1,0,unknown,yes
50,services,married,secondary,no,1595,no,882,no,unknown,9,jun,1,-1,0,unknown,yes
43,management,single,tertiary,no,1046,no,901,no,unknown,9,jun,1,-1,0,unknown,yes
58,self-employed,divorced,tertiary,no,1382,no,700,no,unknown,9,jun,1,-1,0,unknown,yes
38,technician,married,primary,no,217,yes,491,no,unknown,9,jun,6,-1,0,unknown,yes
48,blue-collar,divorced,primary,no,183,no,940,no,unknown,9,jun,1,-1,0,unknown,yes
59,management,married,secondary,no,1321,no,3881,no,unknown,9,jun,3,-1,0,unknown,yes
58,blue-collar,married,secondary,no,25,no,486,no,unknown,9,jun,3,-1,0,unknown,yes
36,self-employed,single,tertiary,no,4844,no,1137,no,unknown,9,jun,3,-1,0,unknown,yes
42,entrepreneur,married,tertiary,no,5345,no,878,no,unknown,11,jun,3,-1,0,unknown,yes
41,admin.,single,secondary,no,812,no,583,yes,unknown,11,jun,4,-1,0,unknown,yes
42,admin.,married,secondary,no,105,no,1159,no,unknown,11,jun,4,-1,0,unknown,yes
39,management,married,tertiary,no,-190,no,893,yes,unknown,11,jun,8,-1,0,unknown,yes
57,housemaid,married,primary,no,625,no,867,yes,unknown,11,jun,1,-1,0,unknown,yes
52,retired,married,unknown,no,293,no,706,no,unknown,11,jun,1,-1,0,unknown,yes
59,retired,married,unknown,no,1033,no,1199,no,unknown,11,jun,1,-1,0,unknown,yes
56,blue-collar,married,secondary,no,1210,no,935,no,unknown,11,jun,1,-1,0,unknown,yes
49,management,married,tertiary,no,64,no,586,no,unknown,11,jun,1,-1,0,unknown,yes
35,blue-collar,divorced,unknown,no,164,no,967,no,unknown,11,jun,2,-1,0,unknown,yes
36,unemployed,married,secondary,no,1766,no,595,no,unknown,11,jun,2,-1,0,unknown,yes
40,admin.,single,tertiary,no,1248,no,1290,no,unknown,11,jun,2,-1,0,unknown,yes
55,blue-collar,married,secondary,no,0,no,614,no,unknown,12,jun,2,-1,0,unknown,yes
58,admin.,married,secondary,no,826,no,885,no,unknown,12,jun,1,-1,0,unknown,yes
39,self-employed,married,tertiary,no,2630,no,651,no,unknown,12,jun,5,-1,0,unknown,yes
47,housemaid,single,tertiary,no,3727,no,993,no,unknown,12,jun,6,-1,0,unknown,yes
40,management,married,secondary,no,406,yes,577,no,unknown,12,jun,2,-1,0,unknown,yes
35,blue-collar,married,tertiary,no,2999,no,1141,no,unknown,12,jun,6,-1,0,unknown,yes
48,blue-collar,married,secondary,no,1000,yes,1268,no,unknown,12,jun,2,-1,0,unknown,yes
48,management,divorced,tertiary,no,503,no,1243,yes,unknown,12,jun,7,-1,0,unknown,yes
24,blue-collar,single,secondary,yes,-203,yes,465,no,unknown,12,jun,3,-1,0,unknown,yes
49,blue-collar,married,primary,no,361,yes,513,no,unknown,16,jun,2,-1,0,unknown,yes
36,blue-collar,married,secondary,no,274,yes,686,no,unknown,16,jun,11,-1,0,unknown,yes
52,retired,divorced,tertiary,no,3687,yes,741,yes,unknown,16,jun,4,-1,0,unknown,yes
